Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
chris coffee,5391,4905,7342,6885,73.43%,71.24%,1.84,2.44
chris's coffee,757,667,1080,961,70.09%,69.41%,2.67,2.75
chriscoffee,563,643,707,831,79.63%,77.38%,1.24,1.18
chris' coffee,336,233,480,375,70%,62.13%,1.67,2.07
chris coffee service,252,236,528,422,47.73%,55.92%,3.06,2.68
vst basket,211,152,3311,2651,6.37%,5.73%,4.87,4.96
chriss coffee,142,127,245,215,57.96%,59.07%,3.15,2.87
quick mill silvano,116,135,1144,1156,10.14%,11.68%,4.03,3.92
quick mill carola,113,62,981,645,11.52%,9.61%,9.05,5.67
vesuvius espresso,99,117,761,659,13.01%,17.75%,3.22,2.79
chris coffee parts,83,79,114,105,72.81%,75.24%,1,1
acs vesuvius,78,47,576,382,13.54%,12.3%,3.72,5.54
erics thermometer,77,17,232,95,33.19%,17.89%,1.94,5.76
ceado e37s,73,144,4586,4145,1.59%,3.47%,7.22,7.04
ceado e5p,73,31,2738,1596,2.67%,1.94%,6.05,7.47
quick mill alexia evo,69,89,679,539,10.16%,16.51%,2.3,2.48
chris coffe,65,71,113,127,57.52%,55.91%,1.76,2.44
quick mill andreja premium,62,54,632,499,9.81%,10.82%,3.31,3.35
la marzocco linea mini,59,21,11945,3361,0.49%,0.62%,10.98,16.45
quick mill alexia,59,59,558,454,10.57%,13%,2.14,2.15
espresso machine repair near me,58,33,1705,787,3.4%,4.19%,7.42,7.26
la spaziale mini vivaldi ii,58,60,1651,1262,3.51%,4.75%,4.12,5.03
quick mill espresso,58,67,1230,1263,4.72%,5.3%,6.1,7.07
chris' coffee service,57,53,100,83,57%,63.86%,1.96,1.63
quick mill anita,53,33,656,410,8.08%,8.05%,2.16,2.72
quick mill qm67,53,57,560,455,9.46%,12.53%,3.35,2.89
ceado e37sd,52,47,2446,1404,2.13%,3.35%,6.67,6.67
la spaziale dream,52,31,872,628,5.96%,4.94%,5.9,7.13
chris coffee albany,51,55,110,100,46.36%,55%,2.64,2.37
vst tamper,50,51,250,200,20%,25.5%,3.24,2.4
dual boiler espresso machine,49,70,1904,2277,2.57%,3.07%,10.39,7.26
e61 thermometer,48,27,417,221,11.51%,12.22%,4.59,6.86
qm67 espresso machine,48,34,192,181,25%,18.78%,1.41,1.73
andreja premium,47,44,583,537,8.06%,8.19%,2.45,2.53
quickmill anita,45,38,533,490,8.44%,7.76%,2.35,2.68
quick mill silvano evo,45,71,496,474,9.07%,14.98%,3.17,3.18
e61 group head thermometer,44,19,277,130,15.88%,14.62%,4.63,6.43
eric's thermometer,41,13,154,74,26.62%,17.57%,1.99,5.28
mahlkonig peak,40,33,1904,1768,2.1%,1.87%,5.84,6.06
quick mill vetrano 2b evo,39,80,341,488,11.44%,16.39%,2.1,2.62
compak e8,38,30,370,219,10.27%,13.7%,7.2,7.98
ek43s,37,21,2215,1944,1.67%,1.08%,6.65,6.98
quickmill andreja premium,37,32,383,251,9.66%,12.75%,4.23,4.22
vetrano 2b evo,37,50,293,297,12.63%,16.84%,2.54,2.47
linea mini,36,25,7105,4577,0.51%,0.55%,10.49,11.8
quick mill vetrano,36,41,550,601,6.55%,6.82%,7.21,9.69
vesuvius espresso machine,36,32,527,402,6.83%,7.96%,2.65,2.18
quick mill anita evo,36,38,245,159,14.69%,23.9%,1.83,2.05
casadio undici,35,35,1831,1788,1.91%,1.96%,4.62,5
la spaziale s1,35,24,1315,934,2.66%,2.57%,7.17,11.34
vst baskets,35,38,740,621,4.73%,6.12%,5.29,5
lmlm espresso,35,20,175,128,20%,15.62%,1.61,1.91
quick mill,34,24,2100,1867,1.62%,1.29%,10.73,12.4
barista pro basket,34,17,178,116,19.1%,14.66%,2.33,2.25
chris cofee,34,25,50,49,68%,51.02%,1.48,2.63
alex duetto,33,86,1229,1263,2.69%,6.81%,5.43,4.49
best dual boiler espresso machine,33,20,521,686,6.33%,2.92%,10.48,8.34
mini vivaldi ii,33,23,413,390,7.99%,5.9%,2.71,4.02
ceado e37j,32,33,1529,1521,2.09%,2.17%,6.39,6.56
quick mill vetrano 2b,32,41,332,382,9.64%,10.73%,2.92,2.79
la spaziale mini vivaldi ii manual,32,7,109,78,29.36%,8.97%,2.39,7.92
la cimbali junior,31,46,1165,1104,2.66%,4.17%,7.62,8.13
izzo vivi,31,18,549,614,5.65%,2.93%,5.77,6.1
coffee machine repair service,31,8,453,188,6.84%,4.26%,9.59,11.88
vesuvius coffee machine,31,34,418,390,7.42%,8.72%,2.74,3.12
la marzocco linea mini vs gs3,31,21,395,520,7.85%,4.04%,5.42,6.23
alex duetto iv,30,47,336,456,8.93%,10.31%,3.52,3.13
breakfast with elvis coffee,30,21,109,68,27.52%,30.88%,1.5,4.44
fiorenzato f64,29,30,1435,1283,2.02%,2.34%,5.82,7
izzo alex duetto,29,29,1038,937,2.79%,3.09%,7.36,7.51
izzo vivi pid,29,29,432,390,6.71%,7.44%,4.45,5.45
eric's e61 thermometer,29,7,87,48,33.33%,14.58%,1.6,5.38
chriscoffee.com,29,7,48,16,60.42%,43.75%,1,21.88
fiorenzato f64 evo,28,22,1094,917,2.56%,2.4%,6.57,7.41
la spaziale vivaldi ii,28,18,812,629,3.45%,2.86%,5.57,7.32
la spaziale s1 vivaldi ii,28,25,632,553,4.43%,4.52%,5.59,6.35
la spaziale s1 mini vivaldi ii,28,37,514,470,5.45%,7.87%,4.12,6.4
chris coffee albany ny,28,0,41,0,68.29%,0%,2.66,0
linea mini vs gs3,27,35,331,352,8.16%,9.94%,4.92,5.39
oscar water softening pouch,27,15,170,130,15.88%,11.54%,3.01,3.77
eureka mignon specialita,25,0,1137,0,2.2%,0%,14.33,0
coffee machine repair near me,25,19,930,384,2.69%,4.95%,8.96,7.77
vst portafilter basket,25,16,362,257,6.91%,6.23%,6.21,3.85
cris coffee,25,24,46,46,54.35%,52.17%,1.09,2.3
double boiler espresso machine,24,9,1047,861,2.29%,1.05%,7.73,9.24
quickmill silvano,24,35,364,341,6.59%,10.26%,6.54,6.99
quick mill achille,24,43,342,359,7.02%,11.98%,5.75,5.15
open box espresso machine,24,8,262,110,9.16%,7.27%,8.82,10.02
ceado grinder,23,29,1732,1730,1.33%,1.68%,8.91,7.72
casadio undici a2 compact,23,16,199,177,11.56%,9.04%,2.96,3.18
chris’s coffee,23,26,44,49,52.27%,53.06%,4.27,3.47
mythos grinder,22,6,1747,1234,1.26%,0.49%,7.93,10.1
coffee grinder parts,22,23,976,3594,2.25%,0.64%,6.19,3.35
la spaziale mini vivaldi,22,12,719,598,3.06%,2.01%,8.46,11.7
quickmill andreja,22,22,504,532,4.37%,4.14%,12.04,20.24
rocket r nine one review,22,25,229,268,9.61%,9.33%,5.52,5.15
quickmill alexia evo,22,13,188,92,11.7%,14.13%,2.86,2.68
baristapro 18g nanotech precision portafilter basket,21,10,150,62,14%,16.13%,4.24,4.66
la spaziale vivaldi ii manual,21,5,90,57,23.33%,8.77%,2.06,8.12
chris coffee buyers remorse,21,9,63,51,33.33%,17.65%,1.46,3.27
chris's coffee service,21,28,40,44,52.5%,63.64%,2.3,2.18
compak e5,20,16,868,839,2.3%,1.91%,5.96,6.15
cimbali junior,20,35,749,665,2.67%,5.26%,6.71,6.92
vst filter basket,20,14,420,379,4.76%,3.69%,8.15,7.32
quick mill carola evo,20,13,306,229,6.54%,5.68%,5.16,5.74
quick mill monza,20,21,305,282,6.56%,7.45%,5.71,5.1
silvano evo,20,23,257,352,7.78%,6.53%,4.93,5.53
espresso machine technician near me,20,13,208,112,9.62%,11.61%,6.65,7.57
alexia evo,20,20,177,134,11.3%,14.93%,2.15,2.21
e61 rebuild kit,20,11,80,60,25%,18.33%,4.25,5.27
mini vivaldi ii manual,20,5,69,54,28.99%,9.26%,2.71,6.57
rocket appartamento,19,34,7678,5568,0.25%,0.61%,11.78,11.33
mahlkonig guatemala,19,30,1131,1125,1.68%,2.67%,5.91,5.5
la spaziale s1 dream,19,22,418,299,4.55%,7.36%,7.29,9.28
espresso machine service near me,19,8,307,203,6.19%,3.94%,7.57,8.88
casadio enea,19,9,268,235,7.09%,3.83%,5.91,5.27
quickmill alexia,19,22,260,187,7.31%,11.76%,2.73,2.97
vetrano 2b,19,27,215,290,8.84%,9.31%,2.9,2.46
rocket r nine one,18,31,618,998,2.91%,3.11%,13.31,8.2
quick mill andreja,18,32,487,581,3.7%,5.51%,8.19,15.21
motta pitcher,18,15,380,314,4.74%,4.78%,8.92,7.86
la spaziale dream t,18,21,354,312,5.08%,6.73%,5.37,6.98
la spaziale s1 vivaldi,18,13,329,245,5.47%,5.31%,10.19,12.19
izzo alex duetto iv plus,18,15,314,233,5.73%,6.44%,5.11,5.42
e61 portafilter,18,10,305,277,5.9%,3.61%,4.77,4.45
izzo alex duetto iv,18,26,283,258,6.36%,10.08%,4.95,5.02
ims barista pro,18,6,110,70,16.36%,8.57%,5.05,6.13
slayer espresso,17,26,2473,2724,0.69%,0.95%,8.47,11.43
espresso machine repair service near me,17,16,572,244,2.97%,6.56%,6.62,5.57
qm67,17,34,527,529,3.23%,6.43%,5,4.06
rocket espresso mozzafiato type v,17,7,504,441,3.37%,1.59%,9.67,9.86
coffee machine repair service near me,17,2,447,159,3.8%,1.26%,7.48,7.2
baristapro basket,17,11,239,133,7.11%,8.27%,4.71,5.17
alex duetto iv plus,17,31,215,265,7.91%,11.7%,3.7,3.54
quick mill andreja premium evo,17,21,164,151,10.37%,13.91%,3.07,2.81
rocket mozzafiato type v review,17,13,146,125,11.64%,10.4%,5.93,5.9
quick mill qm67 evo,17,10,142,137,11.97%,7.3%,2.63,2.69
chris's coffee albany ny,17,0,27,0,62.96%,0%,2.78,0
commercial espresso machine repair near me,16,6,236,92,6.78%,6.52%,6.82,6.22
la marzocco gs3 vs linea mini,16,14,226,265,7.08%,5.28%,5.85,6.22
andreja premium espresso machine,16,9,204,121,7.84%,7.44%,2.72,3.17
gs3 vs linea mini,16,18,204,175,7.84%,10.29%,5.68,6.12
e61 group thermometer,16,5,94,68,17.02%,7.35%,2.48,6.47
mazzer super jolly,15,12,2497,1639,0.6%,0.73%,15.93,16.24
mahlkonig ek43s,15,33,1002,944,1.5%,3.5%,6.37,6.99
la spaziale vivaldi,15,13,959,679,1.56%,1.91%,8.66,10.65
quickmill carola,15,28,418,379,3.59%,7.39%,15.4,9.07
rocket bottomless portafilter,15,11,369,195,4.07%,5.64%,8.12,18.57
quick mill evolution 70,15,15,226,302,6.64%,4.97%,11.14,19.39
quickmill qm67,15,12,210,190,7.14%,6.32%,6.5,6.92
quick mill andreja profiles,15,6,131,109,11.45%,5.5%,6.43,8.12
barista pro filter basket,15,6,104,42,14.42%,14.29%,2.58,3.81
monza espresso machine,15,8,90,87,16.67%,9.2%,2.29,2.95
vst precision espresso baskets,15,0,85,0,17.65%,0%,1.69,0
andreja premium parts,15,0,71,0,21.13%,0%,3.42,0
la marzocco gs3 mp,14,7,830,508,1.69%,1.38%,9.03,8.97
rancilio bottomless portafilter,14,7,354,263,3.95%,2.66%,9.01,14.24
coffee machine repair shop near me,14,0,203,0,6.9%,0%,10.8,0
casadio enea grinder,14,12,128,105,10.94%,11.43%,3.96,3.6
andreja premium evo,14,17,119,93,11.76%,18.28%,4.56,3.04
rocket espresso appartamento,13,14,2813,2499,0.46%,0.56%,10.49,10.77
ceado e37sl,13,8,93,74,13.98%,10.81%,4.23,4.99
erics thermometer espresso,13,10,41,29,31.71%,34.48%,2.15,1.93
baratza sette 270wi,12,9,1947,1388,0.62%,0.65%,12.55,12.03
quick mill espresso machine,12,13,343,223,3.5%,5.83%,4.73,4.94
fiorenzato f4e,12,8,260,253,4.62%,3.16%,6.78,6.53
vst espresso basket,12,11,254,200,4.72%,5.5%,6.25,4.62
e61 bottomless portafilter,12,27,226,210,5.31%,12.86%,5.25,4.27
vst 18g basket,12,13,173,171,6.94%,7.6%,6.06,4.78
ims baristapro basket,12,4,129,55,9.3%,7.27%,5.6,6.42
casadio espresso grinder,12,4,121,72,9.92%,5.56%,3.24,3.6
how to descale a plumbed in espresso machine,12,0,61,0,19.67%,0%,5.46,0
no burn steam wand,12,0,49,0,24.49%,0%,4.41,0
ek43 grinder,11,10,2807,2621,0.39%,0.38%,7.77,6.84
pitcher rinser,11,15,2227,1713,0.49%,0.88%,11.87,7.83
casadio espresso machine,11,8,1111,686,0.99%,1.17%,5.23,6.88
ek43s grinder,11,9,543,309,2.03%,2.91%,5.68,5.85
compak k3 touch,11,13,518,640,2.12%,2.03%,12.71,10.63
best heat exchanger espresso machine,11,13,272,238,4.04%,5.46%,8.51,8.86
compak f10,11,4,242,176,4.55%,2.27%,7.02,7.39
best single boiler espresso machine,11,12,232,211,4.74%,5.69%,9.23,9.37
quickmill achille,11,10,227,195,4.85%,5.13%,9.05,9.28
vivaldi s1,11,4,149,88,7.38%,4.55%,4,5.73
anita quickmill,11,0,97,0,11.34%,0%,1.51,0
quick mill silvano parts,11,5,56,30,19.64%,16.67%,2.61,3
peak grinder,10,7,851,769,1.18%,0.91%,5.75,5.42
fiorenzato f64e,10,14,473,673,2.11%,2.08%,8.23,8.55
mahlkonig ek43 s,10,10,467,451,2.14%,2.22%,6.81,6.46
italian coffee grinder,10,0,467,0,2.14%,0%,6.84,0
mini vivaldi,10,9,351,263,2.85%,3.42%,3.58,4.63
slayer espresso price,10,13,326,491,3.07%,2.65%,7.82,8.14
elvis coffee,10,4,236,106,4.24%,3.77%,6.58,10.54
ceado e5p grinder,10,6,211,91,4.74%,6.59%,5.25,5.65
rocket r9 one review,10,5,149,54,6.71%,9.26%,5.92,7.98
quick mill alexia evo review,10,4,130,68,7.69%,5.88%,3.07,3.24
monza coffee machine,10,5,111,94,9.01%,5.32%,4.95,4.31
ambient vesuvius,10,7,106,106,9.43%,6.6%,8.58,10.66
e61 mushroom,10,2,91,52,10.99%,3.85%,3.19,9.87
vetrano espresso,10,10,69,58,14.49%,17.24%,1.41,1.72
vesuvius dual boiler espresso machine,10,2,68,60,14.71%,3.33%,3.43,4.08
stainless steel portafilter,10,2,59,66,16.95%,3.03%,5.02,5.48
chris coffee shop,10,21,50,79,20%,26.58%,3.92,4.42
rocket mozzafiato type v,9,11,803,850,1.12%,1.29%,9.94,9.7
espresso grinders,9,2,785,385,1.15%,0.52%,14.53,34.43
espresso repair near me,9,1,495,177,1.82%,0.56%,12.72,10.82
single boiler espresso machine,9,5,454,444,1.98%,1.13%,8.14,7.84
la spaziale vivaldi s1,9,11,324,218,2.78%,5.05%,8.53,12.76
fiorenzato f4,9,4,282,270,3.19%,1.48%,12.27,10.26
mahlkonig peak grinder,9,4,275,279,3.27%,1.43%,5.73,5.73
f64 evo,9,4,263,284,3.42%,1.41%,6.53,5.53
nuova simonelli g60,9,16,244,237,3.69%,6.75%,4.86,3.53
la marzocco bottomless portafilter,9,2,194,43,4.64%,4.65%,10.02,20.49
s1 vivaldi,9,5,184,159,4.89%,3.14%,6.07,7.14
f64 evo grinder,9,7,156,118,5.77%,5.93%,4.81,4.01
izzo vivi pid review,9,6,110,83,8.18%,7.23%,3.87,4.3
quickmill anita espresso machine,9,3,93,49,9.68%,6.12%,2.48,2.84
portafilter spring clip,9,2,91,55,9.89%,3.64%,2.53,1.67
vst precision filter baskets,9,8,85,121,10.59%,6.61%,5.33,5.1
quick mill vetrano 2b evo manual,9,12,82,66,10.98%,18.18%,4,6.58
e61 grouphead thermometer,9,4,75,31,12%,12.9%,5.68,7.74
alexia espresso machine,9,4,66,18,13.64%,22.22%,2.26,1.94
quick mill parts,9,4,62,53,14.52%,7.55%,6.18,8.34
vetrano 2b evo manual,9,2,31,3,29.03%,66.67%,3,5.33
la marzocco gs3,8,26,4549,4481,0.18%,0.58%,13.16,14.54
mahlkonig ek43,8,24,3029,3903,0.26%,0.61%,10.81,7.96
rocket giotto,8,17,1706,2185,0.47%,0.78%,13.09,12.36
sette 270wi,8,11,1188,1347,0.67%,0.82%,9.77,9.37
rocket appartamento espresso machine,8,2,810,431,0.99%,0.46%,7.55,7.27
fiorenzato grinder,8,10,691,600,1.16%,1.67%,6.13,6.97
rocket mozzafiato,8,9,664,673,1.2%,1.34%,11.36,11.04
la cimbali m21 junior,8,21,463,460,1.73%,4.57%,19.45,18.18
mazzer super jolly electronic,8,6,445,406,1.8%,1.48%,17.29,15.41
e37s,8,3,412,313,1.94%,0.96%,7.51,7.61
casadio undici a2,8,12,374,392,2.14%,3.06%,5.11,5.31
rancilio silvia bottomless portafilter,8,3,320,347,2.5%,0.86%,9.32,14.48
ims basket,8,5,297,190,2.69%,2.63%,12.23,11.32
unic mira,8,5,285,207,2.81%,2.42%,4.2,6.69
dream machine firmware,8,0,212,0,3.77%,0%,6.83,0
rancilio silvia boiler,8,4,207,226,3.86%,1.77%,8.21,6.04
quickmill espresso,8,5,207,239,3.86%,2.09%,8.25,11.34
fiorenzato f64 evo review,8,12,162,135,4.94%,8.89%,5.88,6
la spaziale portafilter,8,8,137,103,5.84%,7.77%,3.26,4
rocket espresso mozzafiato timer type v espresso machine,8,9,131,140,6.11%,6.43%,6.63,5.56
anita espresso machine,8,9,115,139,6.96%,6.47%,2.21,2.56
quickmill silvano evo,8,8,100,87,8%,9.2%,5.71,5.45
izzo vivi pid pro espresso machine,8,8,75,64,10.67%,12.5%,3.27,3.25
quick mill silvano evo espresso machine,8,4,65,25,12.31%,16%,2.74,2.28
compak e8 review,8,0,62,0,12.9%,0%,8.76,0
acs vesuvius v2,8,5,52,39,15.38%,12.82%,5.17,5.82
slayer steam tip,8,2,51,13,15.69%,15.38%,2.39,2.31
quickmill pulsor,8,6,51,56,15.69%,10.71%,5.31,5.32
quickmill espresso machines,8,0,51,0,15.69%,0%,7.84,0
quick mill silvano manual,8,6,49,38,16.33%,15.79%,3.88,3.58
la spaziale s1 manual,8,0,47,0,17.02%,0%,2.89,0
quick mill andreja premium parts,8,0,44,0,18.18%,0%,2.82,0
e61 diffuser,8,3,31,19,25.81%,15.79%,4.06,3.89
ek43,7,18,3580,5030,0.2%,0.36%,9.49,7.9
rocket r58,7,38,2890,5123,0.24%,0.74%,14.35,10.45
espresso grinder,7,1,2546,1657,0.27%,0.06%,23.32,52.3
la marzocco mini,7,7,1849,968,0.38%,0.72%,10.35,10.63
coffee parts,7,2,1288,627,0.54%,0.32%,11.73,22.44
la spaziale espresso machine,7,5,839,548,0.83%,0.91%,12.72,12.19
rocket giotto evoluzione r,7,2,690,529,1.01%,0.38%,7.66,8.55
ek43 s,7,7,385,454,1.82%,1.54%,6.82,6.3
slayer coffee machine price,7,6,379,576,1.85%,1.04%,7.5,9.66
e37sd,7,9,370,261,1.89%,3.45%,6.54,6.2
best double boiler espresso machine,7,4,322,201,2.17%,1.99%,9.89,9.19
reg barber tamper,7,1,301,354,2.33%,0.28%,31.51,40.06
vivaldi espresso machine,7,11,237,179,2.95%,6.15%,4.38,5.36
la marzocco linea mini espresso machine,7,4,235,257,2.98%,1.56%,9.93,9.21
heat exchanger espresso machines,7,2,222,132,3.15%,1.52%,7.75,7.83
casadio coffee grinder,7,4,196,189,3.57%,2.12%,4.65,4.52
izzo pompei,7,27,182,193,3.85%,13.99%,11.45,4.06
mahlkonig peak espresso grinder,7,7,178,129,3.93%,5.43%,4.51,4.68
compak e6,7,4,168,84,4.17%,4.76%,12.14,10.83
ceado e37s review,7,8,163,141,4.29%,5.67%,6.74,6.64
ceado e37sd review,7,14,150,101,4.67%,13.86%,7.4,9.28
mozzafiato type v,7,3,134,133,5.22%,2.26%,7.42,6.71
qm67 evo,7,16,105,116,6.67%,13.79%,3.49,2.97
silvano evo espresso machine,7,0,97,0,7.22%,0%,2.78,0
quick mill anita manual,7,6,90,51,7.78%,11.76%,6.03,5.96
espresso machine plumbing kit,7,8,83,107,8.43%,7.48%,4.51,5.55
hibiscus coffee recipe,7,4,81,52,8.64%,7.69%,5.59,3.6
f64 evo grinder price,7,8,78,85,8.97%,9.41%,3.85,2.39
la spaziale bottomless portafilter,7,7,77,56,9.09%,12.5%,3.23,5.11
vivaldi s1 espresso machine,7,5,70,47,10%,10.64%,2.6,3.34
quickmill evo,7,0,62,0,11.29%,0%,7.42,0
mavea c150,7,0,52,0,13.46%,0%,6.92,0
vesuvius dual boiler espresso machine with pressure profiling,7,0,44,0,15.91%,0%,4.16,0
robur s electronic,7,0,44,0,15.91%,0%,8.64,0
la cimbali,6,13,5045,4133,0.12%,0.31%,15.58,15.71
cimbali,6,7,2664,2102,0.23%,0.33%,12.33,13.53
mazzer mini,6,3,2089,1268,0.29%,0.24%,17.69,24.54
fiorenzato,6,8,1057,1064,0.57%,0.75%,16.6,18.65
descaling espresso machine,6,0,732,0,0.82%,0%,19.93,0
slayer espresso machine,6,9,552,1207,1.09%,0.75%,9.54,9.11
casadio grinder,6,15,449,488,1.34%,3.07%,4.83,5.2
espresso machine service,6,3,424,180,1.42%,1.67%,20.78,26.79
izzo alex,6,6,415,328,1.45%,1.83%,7.52,8.2
heat exchanger espresso machine,6,3,319,313,1.88%,0.96%,8.78,8.8
quickmill vetrano 2b,6,8,304,217,1.97%,3.69%,9.48,7.15
quick mill espresso machines,6,4,280,277,2.14%,1.44%,3.55,3.43
mazzer robur s,6,0,277,0,2.17%,0%,8.51,0
blendtec 825,6,3,238,239,2.52%,1.26%,11.9,8.45
parts of coffee grinder,6,11,227,239,2.64%,4.6%,6.41,6.64
slayer espresso single group price,6,4,206,237,2.91%,1.69%,9.64,8.46
dual boiler espresso machines,6,3,198,209,3.03%,1.44%,8.89,5.32
